logic,syntax,algorithm,hardware,networking,system_org,creativity,ui_design,attention_detail,problem_solving,logic_speed,syntax_speed,algorithm_speed,hardware_speed,networking_speed,system_org_speed,creativity_speed,ui_design_speed,attention_detail_speed,problem_solving_speed,logic_confidence,syntax_confidence,algorithm_confidence,hardware_confidence,networking_confidence,system_org_confidence,creativity_confidence,ui_design_confidence,attention_detail_confidence,problem_solving_confidence,IT_interest,CS_interest,CE_interest,MMA_interest,IT_accuracy,CS_accuracy,CE_accuracy,MMA_accuracy,IT_time_ratio,CS_time_ratio,CE_time_ratio,MMA_time_ratio,Track
0.562178083,0.965500014,0.812395759,0.719060939,0.409213048,0.409196164,0.340658529,0.906323302,0.720780508,0.795650804,0.530876741,1.954864778,1.748663961,0.818508666,0.772737451,0.775106765,0.956363364,1.287134647,1.147917528,0.93684371,0.298447269,1.887421972,1.420607186,0.58855761,0.316214248,0.317170715,0.325793336,1.166560124,0.827396579,0.745400452,0.225,0.045,0.016,0.714,0.767111737,0.483696316,0.575286789,0.619817106,0.196961979,0.49745059,0.072044666,0.233542765,Information Technology
0.714690198,0.332515289,0.725281396,0.419366887,0.345536115,0.964219876,0.975942423,0.865878144,0.513229638,0.36837048,1.52634954,1.160228741,0.683057352,1.242765365,0.551582782,1.863980603,0.888169972,1.493783427,0.967566614,1.280102032,1.090867055,0.385793795,0.49540879,0.521174642,0.190591772,1.797287146,0.866802755,1.29343442,0.496583864,0.4715518,0.114,0.271,0.053,0.562,0.728026168,0.510912673,0.981750777,0.865079694,0.329323937,0.264407343,0.106959689,0.299309032,Multimedia Arts
0.361944751,0.437188004,0.331659102,0.527731232,0.572074103,0.489944322,0.880116256,0.549727329,0.496654157,0.679887258,0.711386337,1.703295471,0.611825966,1.980330405,1.658367154,0.798073522,0.508283176,1.723192143,1.560286016,1.593510752,0.257482551,0.744660347,0.20291765,1.045082203,0.948708902,0.391011591,0.447348286,0.947285813,0.774922536,1.083407656,0.022,0.096,0.027,0.855,0.862762208,0.444426791,0.615079437,0.469521436,0.579354764,0.284443719,0.117069236,0.019132281,Multimedia Arts
0.517687625,0.527628325,0.810724325,0.74629023,0.92104892,0.630550448,0.383715972,0.799271351,0.832549534,0.692894038,1.65645077,1.240693395,1.284099244,1.141311528,0.53812869,0.66183714,0.547143779,1.454615617,0.971533972,1.262856037,0.857524065,0.654624978,1.041050493,0.851749642,0.495642849,0.417321705,0.209947807,1.162632589,0.808850155,0.875025419,0.034,0.109,0.755,0.103,0.944539884,0.549575337,0.646229754,0.853330683,0.302853301,0.093377073,0.398830884,0.204938741,Computer Engineering
0.950788357,0.865684266,0.74338263,0.910022413,0.862570454,0.430599041,0.924791299,0.677539569,0.865208109,0.92726391,0.977005212,0.665077887,0.841902744,1.140661683,1.727022149,1.791095875,0.510428196,1.266120954,1.126116505,0.833161716,0.92892518,0.575747462,0.625855876,1.038027697,1.489678279,0.771244166,0.472039554,0.857847046,0.974325131,0.77256079,0.253,0.135,0.027,0.585,0.47191922,0.602569103,0.965745822,0.593921759,0.122617686,0.203524458,0.075767113,0.598090743,Information Technology
0.973713106,0.476247607,0.648073954,0.510614817,0.499388346,0.325820863,0.726695034,0.651875316,0.336035126,0.495052525,1.862398829,0.859342836,0.717342308,1.23417914,1.978475681,0.863082907,1.508203321,1.642429423,0.856456316,1.592324523,1.813442149,0.409259969,0.464890866,0.630190156,0.988027698,0.281210418,1.096003863,1.0706592,0.287799406,0.788284276,0.287,0.025,0.049,0.639,0.62066988,0.779383498,0.780117826,0.72146481,0.037980549,0.723914492,0.155250955,0.082854004,Computer Science
0.328542599,0.71362506,0.774295053,0.31161148,0.658465141,0.458547043,0.751620953,0.4220565,0.783656417,0.570714742,1.905094983,0.706281416,1.011599527,0.670210282,1.887040427,1.81600903,0.886912442,1.489976069,1.7258333,1.332801217,0.625904857,0.504020118,0.783276509,0.208845218,1.242550341,0.83272557,0.666621975,0.628854085,1.35246034,0.760649303,0.117,0.692,0.178,0.013,0.717790347,0.545111375,0.455861661,0.938329455,0.555439911,0.241429281,0.099696769,0.10343404,Multimedia Arts
0.808168975,0.927977182,0.920960497,0.845912882,0.749422152,0.358897975,0.4131401,0.928987932,0.724500342,0.306437936,0.652207314,1.495252654,0.507592376,0.741212077,1.323100684,1.537842797,1.477941889,0.836403964,1.568268832,0.855873631,0.527093717,1.387560344,0.467472527,0.627000844,0.991560962,0.551928666,0.61059706,0.777009189,1.136211305,0.262272149,0.108,0.085,0.403,0.404,0.595239819,0.847894843,0.789779739,0.909534046,0.434173153,0.340287519,0.039842756,0.185696572,Multimedia Arts
0.485641657,0.47079275,0.981107388,0.575168407,0.924432589,0.741797038,0.856367912,0.651845965,0.703832719,0.644762386,0.792864482,1.583678173,0.921158544,0.53647395,1.468208444,0.765666019,1.910687877,1.930892866,1.872296585,1.05523805,0.385048021,0.745584203,0.903755453,0.308562867,1.357259732,0.567968785,1.636251788,1.258644724,1.317783597,0.680377803,0.114,0.149,0.19,0.547,0.40927397,0.956991138,0.656910489,0.979992891,0.54626301,0.316077614,0.057495073,0.080164303,Computer Engineering
0.89579567,0.521845404,0.418644923,0.689760884,0.955308342,0.787220858,0.699042819,0.368023546,0.730505059,0.993037695,0.710126023,1.277494479,1.816059608,1.611152927,1.545523611,1.553726126,1.039236727,0.940387766,1.714041733,1.715170092,0.636127816,0.666654622,0.760284134,1.111310266,1.476451599,1.223125613,0.726470971,0.34608484,1.252116157,1.703228555,0.496,0.312,0.165,0.026,0.920243391,0.947944332,0.706805439,0.700909777,0.293760952,0.19261469,0.222125942,0.291498416,Information Technology
0.923003739,0.53659661,0.562908067,0.365787358,0.704796099,0.325159592,0.625918613,0.679851244,0.500578876,0.713583282,0.545750375,0.556022283,1.733900841,1.040285962,0.690590769,1.28336489,1.65499033,0.823731541,1.434335714,0.628021197,0.503729637,0.298359672,0.976026771,0.380523454,0.48672568,0.417298404,1.035889251,0.560014913,0.71799816,0.448145428,0.077,0.013,0.072,0.837,0.431009033,0.718812779,0.724381073,0.782457941,0.21108342,0.606953734,0.118388172,0.063574674,Computer Science
0.856630336,0.489582576,0.607279994,0.354919467,0.31774552,0.97385389,0.885186084,0.787181944,0.586267061,0.421306024,0.734655564,0.875364347,1.323839997,1.571893884,1.490296065,0.919900845,1.932297921,1.606845375,1.331531079,1.417581119,0.629328243,0.428563132,0.803941546,0.557895739,0.473534899,0.895849017,1.71044323,1.264879666,0.780632812,0.597235465,0.123,0.717,0.157,0.003,0.651760037,0.548638594,0.613583607,0.854707666,0.06399384,0.544595233,0.207872359,0.183538568,Multimedia Arts
