score_IT,score_CS,score_CE,score_MMA,total_correct,accuracy_score,average_speed,interest_score,performance_group,performance_encoded,Track,track_encoded
5,2,1,0,8,0.4,0.8422162813623721,0.3031134874550511,Average,0,Information Technology,2
4,0,2,0,6,0.3,0.9655583655768119,0.19377665376927525,Low,2,Information Technology,2
3,1,1,1,6,0.3,0.38179230690728355,0.4272830772370866,Low,2,Information Technology,2
0,5,3,2,10,0.5,0.8073443278107937,0.3770622688756825,Average,0,Computer Science,1
2,0,4,1,7,0.35,0.5643160165635273,0.3842735933745891,Low,2,Computer Engineering,0
0,5,0,3,8,0.4,0.747214651830133,0.34111413926794676,Average,0,Computer Science,1
3,4,1,3,11,0.55,0.3589617874024434,0.5864152850390227,Average,0,Computer Science,1
4,1,3,2,10,0.5,0.600321725939968,0.4598713096240128,Average,0,Information Technology,2
0,0,5,1,6,0.3,0.8079670255391296,0.2568131897843482,Low,2,Computer Engineering,0
0,0,4,0,4,0.2,0.4220442386803736,0.3511823045278506,Low,2,Computer Engineering,0
2,2,5,0,9,0.45,0.9347240531079488,0.2961103787568205,Average,0,Computer Engineering,0
1,2,1,3,7,0.35,0.7532597407093466,0.3086961037162613,Low,2,Multimedia Arts,3
2,3,3,3,11,0.55,0.3852566943620419,0.5758973222551833,Average,0,Computer Engineering,0
3,0,1,3,7,0.35,0.6828803705378363,0.3368478517848654,Low,2,Multimedia Arts,3
5,2,0,1,8,0.4,0.3912894166127179,0.48348423335491286,Average,0,Information Technology,2
2,3,0,3,8,0.4,0.605519099678827,0.3977923601284692,Average,0,Multimedia Arts,3
5,0,2,3,10,0.5,0.47846494991935384,0.5086140200322584,Average,0,Information Technology,2
4,1,3,0,8,0.4,0.30695126229386105,0.5172194950824556,Average,0,Information Technology,2
2,1,5,3,11,0.55,0.37428562315285924,0.5802857507388564,Average,0,Computer Engineering,0
4,3,0,3,10,0.5,0.7158753039521029,0.41364987841915885,Average,0,Information Technology,2
0,2,5,2,9,0.45,0.8991885192421001,0.31032459230316,Average,0,Computer Engineering,0
1,3,3,1,8,0.4,0.4265283779298343,0.4693886488280663,Average,0,Computer Engineering,0
3,1,3,1,8,0.4,0.40047950194718257,0.479808199221127,Average,0,Computer Engineering,0
1,5,2,0,8,0.4,0.9257179444463479,0.2697128222214608,Average,0,Computer Science,1
2,3,3,1,9,0.45,0.6757284931783707,0.3997086027286517,Average,0,Computer Engineering,0
3,1,3,0,7,0.35,0.8951984270170725,0.251920629193171,Low,2,Information Technology,2
3,5,2,0,10,0.5,0.5871543233686938,0.4651382706525225,Average,0,Computer Science,1
2,0,3,1,6,0.3,0.6691293860826186,0.3123482455669525,Low,2,Computer Engineering,0
3,3,0,5,11,0.55,0.8752203634734672,0.37991185461061316,Average,0,Multimedia Arts,3
2,3,2,0,7,0.35,0.5915828764002218,0.3733668494399113,Low,2,Computer Science,1
1,4,2,3,10,0.5,0.9917576441508869,0.30329694233964527,Average,0,Computer Science,1
3,2,1,3,9,0.45,0.708034919524777,0.3867860321900892,Average,0,Information Technology,2
0,3,1,2,6,0.3,0.8955307980503244,0.2217876807798702,Low,2,Computer Science,1
4,2,2,1,9,0.45,0.47954760612127983,0.47818095755148815,Average,0,Information Technology,2
0,4,2,0,6,0.3,0.4845431562728943,0.38618273749084225,Low,2,Computer Science,1
5,3,3,1,12,0.6,0.6883525646383811,0.48465897414464754,Average,0,Information Technology,2
2,1,5,0,8,0.4,0.6989748908964538,0.3604100436414185,Average,0,Computer Engineering,0
2,2,3,4,11,0.55,0.9796124076458892,0.33815503694164434,Average,0,Multimedia Arts,3
5,2,1,3,11,0.55,0.524404480416818,0.5202382078332728,Average,0,Information Technology,2
0,3,1,3,7,0.35,0.7947117544075292,0.29211529823698834,Low,2,Multimedia Arts,3
0,1,5,2,8,0.4,0.34129515661997756,0.503481937352009,Average,0,Computer Engineering,0
2,1,5,2,10,0.5,0.4750374336973816,0.5099850265210474,Average,0,Computer Engineering,0
1,3,3,0,7,0.35,0.6023537729363329,0.3690584908254668,Low,2,Computer Science,1
5,3,0,0,8,0.4,0.8407776837745555,0.30368892649017776,Average,0,Information Technology,2
3,0,3,3,9,0.45,0.32427990411625646,0.5402880383534974,Average,0,Computer Engineering,0
2,1,4,1,8,0.4,0.7364466996226289,0.34542132015094845,Average,0,Computer Engineering,0
